sample_type,event_number,control_number,event_time,window_start,window_end,time_to_event,risk_label,ecg_mean,ecg_std,ecg_rms,r_peak_count,mean_rr,std_rr,mean_hr,min_hr,max_hr,std_hr,sdnn,rmssd,resp_mean,resp_std,resp_rms,resp_peak_count,mean_resp_interval,std_resp_interval,mean_resp_rate,std_resp_rate
precursor,2.0,,3456.512,3451.512,3456.512,0.0,1,0.0019230939495983523,0.17813374608371282,0.17814412643743172,12,0.4305454545454546,0.08157134483089427,136.7771146174506,118.11023622047244,200.0,23.267162225261377,0.08555274821578047,0.10853202292411213,0.0931584224414754,0.1521335313307876,0.17839031091110336,3,1.4689999999999999,0.015000000000000013,40.84837069965927,0.4171038532980873
precursor,7.0,,13109.66,13094.66,13099.66,10.0,1,-0.0017036306516742521,0.17643269918883825,0.1764409241090525,12,0.44145454545454554,0.018232656198867898,136.14711354728516,127.11864406779662,145.63106796116506,5.640726894570993,0.01912257114701701,0.02216303228351212,-0.06411156865853711,0.04850492327639481,0.08039291522209693,4,1.3106666666666666,0.2438159597364828,47.253983822857606,7.955793338600821
precursor,7.0,,13109.66,13095.66,13100.66,9.0,1,-0.0025032256055218666,0.17812498039726407,0.1781425686913654,11,0.4372,0.016785708206685835,137.43400279012621,127.11864406779662,144.23076923076923,5.135851194445912,0.01769369002403588,0.016220700080795257,-0.033883502268576726,0.04037060823520284,0.052705575940927465,4,1.4633333333333332,0.195122753385885,41.80824148970183,6.053062152738151
precursor,7.0,,13109.66,13096.66,13101.66,8.0,1,0.00044107435514766064,0.1767893948852205,0.17678994510567955,12,0.4210909090909091,0.04665044975999606,144.94740222652933,130.43478260869566,214.28571428571428,22.33285932443418,0.04892740447940099,0.05889651942177908,-0.01109694754622921,0.03423851774869648,0.035991920516576584,4,1.3973333333333333,0.28694405184441246,45.13814401437338,10.72589835929913
precursor,7.0,,13109.66,13097.66,13102.66,7.0,1,0.0010025248896727704,0.17678878789422522,0.176791630405016,11,0.4412,0.01960000000000001,136.25863838387724,127.11864406779662,144.23076923076923,5.9875477876882846,0.020660214046433423,0.014544949486180956,0.006394722592216743,0.02387963997061822,0.024721037238711375,4,1.174,0.26312481195559395,53.42509515846738,10.342348945618888
precursor,7.0,,13109.66,13098.66,13103.66,6.0,1,0.0023550054125843524,0.18182925972627734,0.18184450979641736,12,0.4469090909090909,0.021981209105028973,134.58068629334457,123.96694214876034,144.23076923076923,6.616685714070258,0.023054086602832684,0.015126136320951219,0.020972179483311724,0.01751632161255238,0.02732496724818917,4,1.0526666666666666,0.09168545262047964,57.40895832371234,4.717636553948432
precursor,7.0,,13109.66,13099.66,13104.66,5.0,1,0.00036969861581364325,0.1744899442162901,0.17449033586325224,11,0.4588,0.016593974810153234,130.95229776612842,123.96694214876034,141.50943396226415,4.880324096172005,0.0174915852785148,0.015832456116050542,0.029841057347842072,0.013659633843759702,0.03281881016098519,4,1.0526666666666666,0.09168545262047964,57.40895832371234,4.717636553948432
precursor,7.0,,13109.66,13100.66,13105.66,4.0,1,0.0029653922382328743,0.1720506113046419,0.17207616453602032,11,0.476,0.021540659228538015,126.29709801845527,115.38461538461539,131.57894736842104,5.453886056556295,0.022705848487901865,0.021868292622475617,0.03563005965775728,0.011824454416471772,0.037540896013049045,4,1.3766666666666667,0.4261903591380526,47.49123866458803,12.75948068127957
precursor,7.0,,13109.66,13101.66,13106.66,3.0,1,0.002840999833317177,0.17188520374457628,0.17190868083481828,11,0.4856,0.025184121981915504,123.88841232755021,115.38461538461539,131.57894736842104,6.363814563763865,0.02654639544478894,0.021374959389175188,0.033970651439826256,0.014195515499915623,0.03681735758517326,3,1.575,0.393,40.62461309892287,10.136808220874089
precursor,7.0,,13109.66,13102.66,13107.66,2.0,1,0.0014887139838235426,0.17162534931836815,0.1716318059043181,11,0.48600000000000004,0.02460894146443524,123.770767663529,115.38461538461539,131.57894736842104,6.203128180097139,0.025940101944458293,0.0224301384550143,0.03429339617068284,0.014743196890457232,0.03732825840392493,3,1.642,0.32599999999999996,38.040255022611014,7.5524501445622345
precursor,7.0,,13109.66,13103.66,13108.66,1.0,1,-0.0005603792508232654,0.16585638391271684,0.1658573305871865,10,0.4977777777777778,0.018485897193853715,120.70496152148,115.38461538461539,128.2051282051282,4.558678780395912,0.019607254893136996,0.02489979919597747,0.02824396027079861,0.016048852633532677,0.03248518066182331,4,1.1520000000000001,0.15611107156978546,53.12348171239566,7.696227737637065
precursor,7.0,,13109.66,13104.66,13109.66,0.0,1,-0.0007366586274050155,0.16081525824746162,0.16081694547258102,10,0.5075555555555555,0.02128698669302766,118.42292441357225,111.1111111111111,126.05042016806723,4.994079048632792,0.022578258962501485,0.021817424229271448,0.01987947299541792,0.01836924790310185,0.027067004176693846,4,1.2386666666666668,0.2176378235101202,50.146412019194145,9.7497922114186
control,,1.0,,60.0,65.0,,0,0.005758622328928273,0.13748097869446027,0.1376015306379761,13,0.37200000000000005,0.002828427124746193,161.29964787681658,159.5744680851064,163.04347826086956,1.2265157606375225,0.0029541957835039884,0.004000000000000004,-0.011623092922795557,0.019492164640804492,0.02269450972099131,2,2.094,0.0,28.65329512893983,0.0
control,,2.0,,8003.242826165233,8008.242826165233,,0,0.020324208634201858,0.3531022560200599,0.3536866927989552,13,0.377,0.037206630233512596,160.8081613137989,130.43478260869566,208.33333333333334,17.10633442844463,0.03886105786236163,0.06340633750946066,1.1547832010131776,2.3903855706117967,2.6547066537625823,3,1.1989999999999998,0.0010000000000000009,50.04173622704508,0.041736227045074514
control,,3.0,,15782.369065013003,15787.369065013003,,0,-0.0013511259267611894,0.21554833036814633,0.21555256497143688,13,0.39966666666666667,0.006823163163486232,150.16886443447075,145.63106796116506,154.63917525773195,2.5636628777880808,0.007126561498217683,0.0041778637429367325,0.005962527668140362,0.35863642838417215,0.35868599010882596,4,1.2466666666666668,0.04733802793620466,48.19920912435051,1.8666324594846333
control,,4.0,,23659.96525625125,23664.96525625125,,0,-5.3842516935865706e-05,0.19587326486743284,0.19587327226766835,12,0.4116363636363637,0.006019252857180665,145.79061122656398,141.50943396226415,148.5148514851485,2.1129738191268,0.006313045655984547,0.007042726744663584,-0.05902433940524048,0.5596995658067353,0.5628032308067119,5,1.1,0.07537904218017098,54.7860987257339,3.513384711861581
control,,5.0,,31406.268177635528,31411.268177635528,,0,-0.0013750731321392606,0.20436455762301714,0.20436918368132273,12,0.4043636363636364,0.009565779227611555,148.46355716013275,141.50943396226415,153.0612244897959,3.478544118203391,0.010032673893561234,0.01117139203501514,0.6942394857659363,0.9527464914810958,1.178852976679488,4,1.1553333333333333,0.2078289895295863,53.92846251045696,11.095029951518814
control,,6.0,,38889.984559311866,38894.984559311866,,0,0.0011687901615231623,0.2448659853491155,0.2448687747578995,12,0.4178181818181818,0.011861459222036425,143.71823081566316,137.61467889908258,150.0,4.055502423658342,0.012440403384281247,0.00551361950083609,0.0026310020655573,0.6679796751590346,0.66798485656296,3,2.003,0.9950000000000001,39.768575875980815,19.755233647828714
control,,7.0,,46537.81752830566,46542.81752830566,,0,0.0015742120079147838,0.21378828203685407,0.21379407774705853,12,0.4163636363636364,0.01235293654651856,144.23007528323868,136.36363636363637,150.0,4.224607232862787,0.012955869150873099,0.00903327183250896,-0.05082641557967906,0.22264608455505303,0.22837382399998046,4,1.3446666666666667,0.3593376623115862,47.55636647270763,11.04842910245433
control,,8.0,,54185.65049729946,54190.65049729946,,0,-0.0016497121963916087,0.18057096045443546,0.18057849625514166,14,0.3781538461538462,0.034395541199955984,154.66076250087664,150.0,156.25,1.813605845792846,0.03580001432459246,0.036129397079571274,0.04136675901845383,0.15513165793494602,0.1605522969170355,4,1.066,0.13207068814338274,57.122071943851694,6.773289951921716
control,,9.0,,62161.716640928185,62166.716640928185,,0,0.0003618572819774066,0.20643416266362988,0.20643447981218283,14,0.36215384615384616,0.00403534678418585,165.69599340821767,163.04347826086956,168.53932584269663,1.844132042171896,0.004200122098347341,0.0023094010767585054,0.038222579976957015,0.4433018003323046,0.44494657184650527,2,1.27,0.0,47.24409448818898,0.0
control,,10.0,,69776.7262924585,69781.7262924585,,0,-0.0020790409994837595,0.15291710035696496,0.15293123288935986,12,0.3956363636363637,0.036757863048166556,153.04576376004945,125.0,194.80519480519482,15.257435287731031,0.038551972004743744,0.06723094525588644,-0.11953902019648815,0.7644774772010905,0.7737670130583755,3,1.001,0.04700000000000004,60.07249507897643,2.820586682029866
control,,11.0,,77621.49916623325,77626.49916623325,,0,-1.696768932935271e-05,0.36801413280078255,0.3680141331919394,12,0.3970909090909091,0.003848365543366681,151.11325948118022,150.0,154.63917525773195,1.4816232312648954,0.004036199832876107,0.0021908902300206666,0.043780847146527684,0.7896251614250479,0.7908379468212186,3,1.326,0.0040000000000000036,45.24928053871441,0.1364985838271906
control,,12.0,,85663.21194478896,85668.21194478896,,0,-0.004531710583338166,0.15493316909307522,0.15499942995390203,13,0.37866666666666665,0.006394442031083632,158.4955952958689,153.0612244897959,163.04347826086956,2.658973636924937,0.006678776879493782,0.005656854249492385,-0.1417643399878751,0.865410906383785,0.8769453603162527,4,1.2173333333333334,0.07876265330444086,49.505195327430236,3.3559895611937187
control,,13.0,,93737.74804080816,93742.74804080816,,0,0.0064585718413529974,0.21404237404759122,0.21413979321499044,13,0.37233333333333335,0.002560381915956205,161.1535515701312,159.5744680851064,163.04347826086956,1.108869691622355,0.0026742316936860886,0.003190896140869865,1.6386257425735793,2.246220113242715,2.7803954972918743,2,2.446,0.0,24.52984464431725,0.0
control,,14.0,,101516.87427965594,101521.87427965594,,0,0.004565886759617362,0.1491492412083529,0.1492191122977519,11,0.43,0.005727128425310546,139.55921502868873,135.13513513513513,141.50943396226415,1.827013695030825,0.006036923425424949,0.006110100926607792,-0.1664937054878286,0.4205904140646722,0.45234549889455095,4,0.9660000000000001,0.08552582455999282,62.620685065932605,5.755442049688102
control,,15.0,,109492.94042328466,109497.94042328466,,0,0.0059029116947953075,0.4420102006325617,0.4420496146697947,15,0.35057142857142853,0.0019166296949998216,171.15427675772506,170.45454545454547,172.41379310344828,0.9387880559364301,0.0019889806323953895,0.0024806946917841715,0.06098290766390753,0.29656423505032226,0.3027693190171809,2,2.548,0.0,23.547880690737834,0.0
control,,16.0,,116878.186853,116883.186853,,0,0.021037143576927052,0.4019026476943304,0.40245285392650565,15,0.34600000000000003,0.002000000000000002,173.41619887730553,172.41379310344828,174.4186046511628,1.0024057738572623,0.0020754980866510855,0.00350823207722812,-0.4100630227077108,1.4939005824703995,1.5491580400003038,2,2.456,0.0,24.4299674267101,0.0
control,,17.0,,125116.83953590719,125121.83953590719,,0,0.004079885389363726,0.16330799159105908,0.16335894705309462,13,0.3926666666666667,0.004268749491621903,152.8194878779378,150.0,156.25,1.6678171707608072,0.004458563432181706,0.0034112114616897705,-0.3240927099095445,1.086506759666589,1.1338134870505392,3,1.472,0.43399999999999994,44.64150325409871,13.161964953993774
control,,18.0,,133224.1989493899,133229.1989493899,,0,-0.0017256421287865263,0.22824079377305218,0.22824731714285182,13,0.3753333333333333,0.0022110831935702687,159.86345410540767,157.89473684210526,161.29032258064515,0.9421523213340262,0.0023094010767585054,0.002696799449852971,-0.009673024099171777,0.14830880981562494,0.14862392292006818,3,1.334,0.07399999999999995,45.116341991342,2.5027056277056268
control,,19.0,,140872.03191838367,140877.03191838367,,0,0.0061670582223147495,0.20797193582671888,0.20806335260835893,13,0.38833333333333336,0.004459696053419887,154.52668981525755,151.5151515151515,156.25,1.7635393388194127,0.004658000611525263,0.0040000000000000036,0.0020749329160421725,0.08446196826713549,0.0844874513177234,3,1.8559999999999999,0.11399999999999999,32.450010781702574,1.993157989824402
control,,20.0,,148683.98147469494,148688.98147469494,,0,0.004946256416154248,0.20858248717530561,0.2086411258807114,12,0.4018181818181819,0.006235064799811715,149.3568795214296,144.23076923076923,153.0612244897959,2.295536403711513,0.006539391130956781,0.005059644256269398,0.04359567235928231,0.2907574182342166,0.29400758307684005,4,1.4186666666666667,0.09450690744890318,42.47343267203789,2.7051607974718914
control,,21.0,,156463.1077135427,156468.1077135427,,0,0.007957808270766718,0.4175508937002897,0.41762671794604433,14,0.3738461538461539,0.07014034957892107,164.7697008295269,104.89510489510491,194.80519480519482,23.00121885054051,0.07300439045455434,0.08038241930505284,0.1495825177870176,0.8085072933281556,0.8222280541263013,3,1.552,0.42600000000000005,41.80981920126723,11.476148827151961
control,,22.0,,164143.764,164148.764,,0,-0.0012502324328714017,0.16233919800684812,0.16234401217982403,13,0.365,0.005446711546122736,164.41978494550787,159.5744680851064,166.66666666666669,2.427591290021132,0.005688904671695284,0.005393598899705941,-0.0020725594485202802,0.001452253581940543,0.002530719884520969,2,2.306,0.0,26.019080659150042,0.0
